age,income,balance,city,has_credit_card,target
56,-10390,3706,B,1,0
69,53677,2599,C,1,1
46,86010,2466,B,1,1
32,74779,309,A,1,1
60,54193,265,B,0,1
25,40167,2484,A,0,1
78,66142,-46,A,1,1
38,30529,1202,B,0,1
56,59527,2751,A,1,1
75,60109,527,A,0,1
36,71204,4408,A,1,1
40,105193,3836,B,1,1
28,57848,-357,A,1,1
28,39821,601,B,1,1
41,49489,-1429,A,1,1
70,14618,826,A,0,0
53,36106,3150,A,0,1
57,41814,1379,B,0,0
41,39518,2691,A,1,1
20,53047,-284,C,0,1
39,33552,3197,C,0,0
70,72421,1167,C,1,1
19,50004,2018,C,1,1
41,49814,1861,A,0,1
61,43442,93,B,0,1
47,53104,270,B,1,1
55,66502,3452,B,1,1
19,32657,2598,C,0,0
77,36838,3575,B,1,1
38,43925,2487,C,1,1
50,23083,2214,A,1,1
29,33615,-589,C,1,1
75,40476,1594,B,1,1
39,67488,1959,B,1,1
78,55251,4930,A,0,1
61,53872,3030,B,0,1
42,67018,4304,C,1,0
66,47253,2896,A,1,1
44,57809,933,B,1,1
76,47936,2176,A,0,1
59,55307,2354,C,1,1
45,38345,591,A,0,1
77,1224,1423,A,1,0
33,47314,1691,A,0,1
32,78455,4408,B,1,0
79,68524,-1121,A,1,1
79,69308,3809,B,0,1
64,74723,595,C,0,1
79,51773,-58,C,1,1
68,53946,3770,A,1,1
61,37647,3098,C,0,0
72,43679,3882,B,0,1
69,62315,3201,A,0,1
74,74078,5090,A,1,0
20,47211,2838,A,0,0
54,40996,1765,C,0,1
68,50011,2514,A,1,1
24,62024,3865,A,1,1
38,21123,831,B,0,1
26,4076,1022,B,1,1
56,38989,1537,B,1,1
35,25586,-1157,B,1,1
21,39837,2207,A,0,1
42,47044,-829,C,1,1
77,40935,2080,A,0,1
31,79049,3298,B,0,0
67,56535,1285,B,0,1
75,56009,4516,A,1,1
26,62444,-191,C,1,1
43,27223,3787,A,1,1
70,70782,3013,A,0,1
19,48485,-574,C,1,1
37,63410,6066,B,1,1
45,28563,1904,B,0,0
64,18925,684,B,1,1
77,66358,-111,C,0,1
24,57528,1670,A,1,0
61,31959,1809,A,0,0
78,32607,2154,A,1,1
25,72509,1553,A,1,0
64,26212,2950,B,1,1
52,82853,1419,A,0,1
31,31988,-902,A,1,1
34,62768,1776,A,0,0
53,43428,-1551,B,1,1
67,62064,2531,C,1,1
57,39118,531,A,0,1
21,46744,2245,B,0,1
19,50818,3971,A,1,1
79,29956,577,B,1,1
23,64816,3592,A,0,0
71,39736,1350,A,0,0
59,45428,4630,B,0,0
21,30113,1452,C,1,0
71,-1247,739,A,1,1
46,46179,3031,B,1,1
35,98252,1346,B,1,1
43,65692,738,C,1,1
61,49615,1283,A,1,1
51,44742,1933,A,0,1
27,50449,4013,C,1,1
79,60942,-901,A,0,1
53,26384,2035,A,0,1
31,72286,2937,A,1,0
48,64308,2290,C,0,0
65,64364,3965,A,1,1
32,58770,1888,C,1,0
25,50392,1723,A,1,1
31,63457,2888,A,0,0
40,61836,2149,A,0,0
77,42919,1414,A,0,1
74,38528,2774,B,1,0
79,52037,1021,B,1,1
57,80980,1083,A,1,1
38,25218,1208,A,1,1
33,20649,4030,B,1,0
62,53295,-2832,C,1,1
35,51018,2593,B,1,0
64,53467,2051,C,0,1
